MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7093840357,14.16.612.449,CLASSIC,0,2520
EUW1_7093842025,14.16.612.449,ARAM,0,1716
EUW1_7093959899,14.16.612.449,CLASSIC,0,2012
EUW1_7094603630,14.17.613.973,CLASSIC,0,2248
EUW1_7094604424,14.17.613.973,CLASSIC,0,1655
EUW1_7094665028,14.17.613.973,CLASSIC,0,1682
EUW1_7094670092,14.17.613.973,CLASSIC,0,1590
EUW1_7094745240,14.17.613.973,CLASSIC,0,2305
EUW1_7094917436,14.17.613.973,CLASSIC,0,1711
EUW1_7094918839,14.17.613.973,CHERRY,0,1327
EUW1_7094964546,14.17.613.973,CHERRY,0,1189
EUW1_7095025848,14.17.613.973,CLASSIC,0,1835
EUW1_7095101551,14.17.613.973,CLASSIC,0,1877
EUW1_7095916610,14.17.613.973,CLASSIC,0,1461
EUW1_7095966535,14.17.613.973,CLASSIC,0,1373
EUW1_7096137585,14.17.613.973,CLASSIC,0,1789
EUW1_7096234233,14.17.613.973,CLASSIC,0,1100
EUW1_7096294517,14.17.613.973,CLASSIC,0,1652
EUW1_7096419667,14.17.613.5100,CHERRY,0,1669
EUW1_7096466567,14.17.613.5100,CHERRY,0,1441
EUW1_7096508831,14.17.613.5100,CHERRY,0,1400
EUW1_7098107794,14.17.614.2229,CLASSIC,0,1690
EUW1_7098170783,14.17.614.2229,CLASSIC,0,1083
EUW1_7098269770,14.17.614.2229,ARAM,0,476
EUW1_7098296777,14.17.614.2229,ARAM,0,1345
EUW1_7098442862,14.17.614.2229,CHERRY,0,1390
EUW1_7098474447,14.17.614.2229,CHERRY,0,1459
EUW1_7100942796,14.17.614.2229,ARAM,0,1158
EUW1_7100999123,14.17.614.2229,ARAM,0,1697
EUW1_7101060025,14.17.614.2229,ARAM,0,1440
EUW1_7101161439,14.17.614.2229,CHERRY,0,1131
EUW1_7101203424,14.17.614.2229,CHERRY,0,1261
EUW1_7101229652,14.17.614.2229,ARAM,0,1101
EUW1_7101280657,14.17.614.2229,ARAM,0,763
EUW1_7101329186,14.17.614.2229,ARAM,0,1094
EUW1_7103184198,14.17.614.2229,ARAM,0,1535
EUW1_7103214396,14.17.614.2229,ARAM,0,1145
EUW1_7103233389,14.17.614.2229,ARAM,0,1465
EUW1_7103257305,14.17.614.2229,ARAM,0,598
EUW1_7104106475,14.17.614.2229,ARAM,0,933
EUW1_7104133045,14.17.614.2229,ARAM,0,869
EUW1_7104166912,14.17.614.2229,ARAM,0,1481
EUW1_7104401348,14.17.614.2229,CLASSIC,0,1129
EUW1_7104451662,14.17.614.2229,CLASSIC,0,1255
EUW1_7104492843,14.17.614.2229,CLASSIC,0,1674
EUW1_7104555139,14.17.614.2229,CLASSIC,0,1430
EUW1_7105641712,14.17.615.2328,CLASSIC,0,1669
EUW1_7106608109,14.17.615.2328,CLASSIC,0,1718
EUW1_7108561561,14.17.615.2328,CLASSIC,0,1910
EUW1_7108569865,14.17.615.2328,CLASSIC,0,145
EUW1_7108583730,14.17.615.2328,CLASSIC,0,1437
EUW1_7108821715,14.17.615.2328,CLASSIC,0,1826
EUW1_7108859905,14.17.615.2328,CLASSIC,0,1479
EUW1_7108897117,14.17.615.2328,CLASSIC,0,1910
EUW1_7108969391,14.17.615.2328,CLASSIC,0,1973
EUW1_7109024304,14.17.615.2328,CLASSIC,0,1822
EUW1_7109081893,14.17.615.2328,CLASSIC,0,1982
EUW1_7109621820,14.17.615.2328,CLASSIC,0,1268
EUW1_7109929758,14.17.615.2328,CLASSIC,0,1066
EUW1_7110322955,14.17.615.2328,CLASSIC,0,918
EUW1_7111771447,14.17.615.2328,CLASSIC,0,1359
EUW1_7111818132,14.17.615.2328,CLASSIC,0,2095
EUW1_7111915920,14.17.615.2328,CLASSIC,0,1854
EUW1_7111972981,14.17.615.2328,CLASSIC,0,1321
EUW1_7111990973,14.17.615.2328,ARAM,0,1395
EUW1_7112034299,14.17.615.2328,ARAM,0,1182
EUW1_7112073233,14.17.615.2328,ARAM,0,1759
EUW1_7112091601,14.17.615.2328,CLASSIC,0,1627
EUW1_7112168453,14.17.615.2328,CLASSIC,0,1172
EUW1_7115650360,14.18.616.8335,CLASSIC,0,1954
EUW1_7115701210,14.18.616.8335,CLASSIC,0,1914
EUW1_7115711882,14.18.616.8335,CLASSIC,0,1652
EUW1_7115763356,14.18.616.8335,CLASSIC,0,1749
EUW1_7115768982,14.18.616.8335,CLASSIC,0,2129
EUW1_7115845566,14.18.616.8335,CLASSIC,0,1569
EUW1_7115897507,14.18.616.8335,CLASSIC,0,2039
EUW1_7115898947,14.18.616.8335,CLASSIC,0,916
EUW1_7116042217,14.18.616.8335,CLASSIC,0,2637
EUW1_7117053271,14.18.616.8335,CLASSIC,0,2136
EUW1_7118263970,14.18.616.8335,CHERRY,0,1223
EUW1_7118298923,14.18.616.8335,CHERRY,0,1505
EUW1_7118337825,14.18.616.8335,CHERRY,0,1502
